,file_id,hard_prediction,model_prediction,saved_loss,total_loss
0,"[('0529',)]",0,0.0010571963272271517,0.8014380931854248,0.8018274307250977
1,"[('0496',)]",1,0.9993945776611185,0.8027722835540771,
2,"[('0380',)]",0,0.0008470943445568504,0.8016066551208496,
3,"[('0417',)]",0,0.0008704224996341045,0.8015879392623901,
4,"[('0245',)]",0,0.001390105444746819,0.8011710047721863,
5,"[('0377',)]",0,0.0004574992960692059,0.8019192218780518,
6,"[('0771',)]",0,0.0010144032784230167,0.8014724254608154,
7,"[('0898',)]",0,0.0010675974154781566,0.8014297485351562,
8,"[('0900',)]",0,0.0005142595205246903,0.8018736839294434,
9,"[('0609',)]",0,0.0012501365142832943,0.8012832999229431,
10,"[('0797',)]",0,0.0011563038395617279,0.8013585805892944,
11,"[('0216',)]",0,0.00032072498556849003,0.8020289540290833,
12,"[('0847',)]",1,0.9999989598922567,0.8022871017456055,
13,"[('0680',)]",0,0.0005268894134009107,0.8018635511398315,
14,"[('0556',)]",0,0.0005878100731567972,0.8018146753311157,
15,"[('0868',)]",0,0.0007933058596016532,0.801649808883667,
16,"[('0677',)]",0,0.0004465781534056506,0.8019279837608337,
17,"[('0044',)]",0,0.0004733981023957421,0.8019064664840698,
18,"[('0444',)]",0,0.00037005586127325665,0.8019893765449524,
19,"[('0205',)]",0,0.0008577926067578842,0.801598072052002,
20,"[('0575',)]",1,0.9998571540314096,0.8024008870124817,
21,"[('0484',)]",1,0.9996821991964148,0.8025413155555725,
22,"[('0079',)]",1,0.9984720409758286,0.8035140037536621,
23,"[('0784',)]",0,0.00037414200308615145,0.8019860982894897,
24,"[('0192',)]",0,0.000585655562019089,0.8018164038658142,
25,"[('0567',)]",1,0.9998091764511707,0.8024393916130066,
26,"[('0094',)]",1,0.9982780241227921,0.8036701679229736,
27,"[('0585',)]",0,0.0002976197109537575,0.8020474910736084,
28,"[('0255',)]",1,0.9979167761757307,0.8039610981941223,
29,"[('0037',)]",1,0.9992752725857045,0.802868127822876,
30,"[('0415',)]",0,0.0007612853664860592,0.8016754984855652,
31,"[('0693',)]",1,0.9982621802755088,0.8036829233169556,
32,"[('0269',)]",0,0.0009103923959129667,0.801555871963501,
33,"[('0656',)]",0,0.0010583107295397594,0.8014371991157532,
34,"[('0162',)]",0,0.0005063844108489294,0.8018800020217896,
35,"[('0179',)]",0,0.0004972463118855464,0.8018873333930969,
36,"[('0769',)]",0,0.0005043041931987284,0.8018816709518433,
37,"[('0165',)]",1,0.9997220710357317,0.8025093078613281,
38,"[('0032',)]",0,0.00019033991499339158,0.8021335601806641,
39,"[('0929',)]",0,0.0006028173576332472,0.8018026351928711,
40,"[('0341',)]",1,0.9998439337432258,0.8024114966392517,
41,"[('0731',)]",1,0.9999853643971651,0.8022980093955994,
42,"[('0319',)]",0,0.0005730999626303758,0.8018264770507812,
43,"[('0381',)]",0,0.0009414470736909674,0.8015309572219849,
44,"[('0389',)]",0,0.0003695358068607064,0.8019897937774658,
45,"[('0092',)]",1,0.9972267584323746,0.804517388343811,
46,"[('0250',)]",0,0.00048647375619700553,0.8018959760665894,
47,"[('0467',)]",0,0.0008119535249659551,0.8016348481178284,
48,"[('0368',)]",0,0.0002278581261845168,0.8021034598350525,
49,"[('0499',)]",0,0.0010442692604009025,0.8014484643936157,
50,"[('0493',)]",0,0.0010135117565729305,0.8014731407165527,
51,"[('0673',)]",0,0.0010348339874874908,0.8014560341835022,
52,"[('0070',)]",0,0.0009329033226276417,0.801537811756134,
53,"[('0277',)]",0,0.0010912227445054395,0.8014107942581177,
54,"[('0876',)]",1,0.9999643403976491,0.8023148775100708,
55,"[('0768',)]",0,0.000657200190488502,0.8017590045928955,
56,"[('0939',)]",0,0.0004225813569408319,0.8019472360610962,
57,"[('0580',)]",0,0.0004705749498704693,0.8019087314605713,
58,"[('0195',)]",1,0.9999593631137572,0.8023188710212708,
59,"[('0420',)]",0,7.147033498190583e-05,0.8022289276123047,
60,"[('0537',)]",0,0.0010937487230806835,0.8014087677001953,
61,"[('0819',)]",1,0.9951633752658303,0.8061854839324951,
62,"[('0816',)]",1,0.9998588622963995,0.8023995161056519,
63,"[('0442',)]",0,0.0007139604149439864,0.8017134666442871,
64,"[('0756',)]",0,0.001198353953490791,0.8013248443603516,
65,"[('0019',)]",1,0.9996941529894577,0.8025317192077637,
66,"[('0004',)]",1,0.9999502258409604,0.8023262023925781,
67,"[('0944',)]",1,0.9961443075010052,0.8053916096687317,
68,"[('0200',)]",1,0.9979013137028914,0.8039735555648804,
69,"[('0614',)]",1,0.9996676471385533,0.8025529980659485,
70,"[('0254',)]",0,0.0004944974528477809,0.8018895387649536,
71,"[('0038',)]",0,0.00014472371366398392,0.8021701574325562,
72,"[('0971',)]",1,0.9998192023451105,0.8024313449859619,
73,"[('0036',)]",0,0.0005781519197808639,0.8018224239349365,
74,"[('0355',)]",1,0.9984833732982458,0.8035048842430115,
75,"[('0333',)]",0,0.0006295630131358315,0.801781177520752,
76,"[('0949',)]",1,0.998789887951104,0.8032582998275757,
77,"[('0107',)]",0,0.0005912275735821274,0.801811933517456,
78,"[('0536',)]",0,0.0002216174732339138,0.8021084666252136,
79,"[('0135',)]",1,0.9999211808227073,0.8023495078086853,
80,"[('0406',)]",0,0.0007953860772518541,0.8016481399536133,
81,"[('0579',)]",0,0.00032897156268178686,0.8020223379135132,
82,"[('0033',)]",1,0.999496989062965,0.8026900291442871,
83,"[('0834',)]",0,0.0007421919401967143,0.8016908168792725,
84,"[('0432',)]",0,0.0005699053426675671,0.8018290400505066,
85,"[('0697',)]",0,0.0010975376909435495,0.8014057278633118,
86,"[('0089',)]",0,3.462076517834523e-05,0.8022584915161133,
87,"[('0589',)]",0,0.0011100932903322627,0.8013956546783447,
88,"[('0193',)]",0,0.0008893673389484351,0.8015727400779724,
89,"[('0220',)]",1,0.998603748808327,0.8034080266952515,
90,"[('0025',)]",0,0.0010169292569982607,0.8014703989028931,
91,"[('0761',)]",0,0.0003127755824052219,0.8020353317260742,
92,"[('0933',)]",0,0.001076438340491511,0.801422655582428,
93,"[('0611',)]",0,0.00013298534263784972,0.8021795749664307,
94,"[('0026',)]",1,0.9964310936799045,0.8051598072052002,
95,"[('0524',)]",1,0.999073231212112,0.8030304908752441,
96,"[('0549',)]",0,0.0011016238327564445,0.8014024496078491,
97,"[('0557',)]",0,0.0009415956606659817,0.8015308380126953,
98,"[('0491',)]",0,0.0008384763000060177,0.8016135692596436,
99,"[('0060',)]",0,0.00043015929266656416,0.8019411563873291,
100,"[('0618',)]",0,7.800816188253754e-06,0.8022800087928772,
101,"[('0590',)]",0,0.0003500709131338256,0.802005410194397,
102,"[('0182',)]",0,5.497718075531217e-06,0.8022818565368652,
103,"[('0440',)]",0,0.0008604671723081426,0.80159592628479,
104,"[('0403',)]",1,0.9968623578929406,0.8048114776611328,
105,"[('0247',)]",0,0.0002918248189281976,0.8020521402359009,
106,"[('0348',)]",0,0.001135947423984761,0.8013749122619629,
107,"[('0522',)]",1,0.9995781909888822,0.8026248216629028,
108,"[('0330',)]",1,0.9997933582274028,0.8024520874023438,
109,"[('0292',)]",0,0.000595239421907515,0.8018087148666382,
110,"[('0810',)]",1,0.9981670537307542,0.8037595152854919,
111,"[('0443',)]",1,0.9988073791117111,0.8032442331314087,
112,"[('0173',)]",0,0.0009843887094701167,0.8014965057373047,
113,"[('0142',)]",0,0.00037986260162420425,0.801981508731842,
114,"[('0306',)]",1,0.99999435372683,0.8022907972335815,
115,"[('0888',)]",1,0.9997571935586251,0.8024811148643494,
116,"[('0356',)]",0,0.001112322094957478,0.8013938665390015,
117,"[('0291',)]",0,0.0006530397551881,0.8017623424530029,
118,"[('0639',)]",1,0.9987992263758809,0.803250789642334,
119,"[('0054',)]",1,0.9990391206878073,0.8030579090118408,
120,"[('0222',)]",0,0.0002427911171734597,0.8020914793014526,
121,"[('0095',)]",1,0.997013949838535,0.8046891093254089,
122,"[('0708',)]",0,0.0006624007346140044,0.8017548322677612,
123,"[('0746',)]",1,0.9999353688433251,0.8023381233215332,
124,"[('0374',)]",0,0.0002372191056104213,0.8020959496498108,
125,"[('0647',)]",0,0.0005377362625769588,0.8018548488616943,
126,"[('0505',)]",1,0.9996161986166218,0.8025943040847778,
127,"[('0339',)]",1,0.9988121225828943,0.8032404184341431,
128,"[('0630',)]",0,0.00038647472201234313,0.801976203918457,
129,"[('0880',)]",0,0.0003549742833092994,0.8020014762878418,
130,"[('0174',)]",0,0.0007145547628440438,0.8017129898071289,
131,"[('0005',)]",0,0.0014296295801006379,0.8011392951011658,
132,"[('0610',)]",0,0.0009533340316921159,0.8015214204788208,
